variable,0,1,2,3
active,53.57740738044981,49.08906702689252,,
alco,50.05737061416752,48.432518597236985,,
cholesterol,,44.01069008303904,60.21572939574824,76.54351599305727
gender,,49.67274324621129,50.52308949734369,
gluc,,48.058978799240066,59.30635838150289,62.20221346839242
smoke,50.21071266312607,47.47933214459394,,
