model,imputation,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
HGB,median,0.7954602388463263,0.0033605831376976223,0.7758511167709579,0.004416350448094653
HGB,knn,0.7936495187406207,0.003818335329480485,0.7739174141505742,0.004732502028641796
