subgroup,value,n,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV
gender,2,4764,1653,586,738,1787,0.6913425345043914,0.7530552043826381,0.7382760160786065,0.7077227722772277
gender,1,8989,3046,1110,1367,3466,0.6902334013142987,0.7574300699300699,0.7329162656400385,0.7171529070970412
age_band,"[50,60)",6937,2390,825,1093,2629,0.6861900660350273,0.7611464968152867,0.7433903576982893,0.7063406770553465
age_band,"[40,50)",3875,1250,501,582,1542,0.6823144104803494,0.7547723935389133,0.7138777841233581,0.7259887005649718
age_band,"[60,70)",2569,931,330,370,938,0.7156033820138356,0.7397476340694006,0.7383029341792229,0.7171253822629969
age_band,"[0,40)",372,128,40,60,144,0.6808510638297872,0.782608695652174,0.7619047619047619,0.7058823529411765
